ITEM_ID,ORDER_ID,PRODUCT_ID,QUANTITY,UNIT_PRICE
2215,348,34816,71,1205.266412
2216,348,34817,91,532.2938709
2217,348,34818,52,598.1559725
2218,348,34819,47,751.2107697
2219,348,34820,78,731.5681784
2220,348,34821,90,1663.273939
2221,348,34822,155,1422.224042
2222,349,34823,120,1599.077651
2223,349,34824,53,-150.7427563
2224,349,34825,113,293.0220174
2225,349,34826,17,459.221257
2226,349,34827,43,1516.323867
2227,349,34828,123,886.9317326
2228,351,34829,59,1530.811651
2229,351,34830,117,1178.01214
2230,351,34831,150,1557.491773
2231,351,34832,140,971.332643
2232,351,34833,104,913.6451918
2233,352,34834,94,1018.133453
2234,352,34835,105,-48.82652708
2235,352,34836,73,809.5620068
2236,352,34837,64,535.2903255
2237,353,34838,97,1494.621805
2238,353,34839,103,1875.032525
2239,353,34840,151,363.3671384
2240,354,34841,160,406.1893736
2241,354,34842,87,93.03014712
2242,354,34843,182,441.4300522
2243,354,34844,79,81.69426953
2244,354,34845,102,-143.119963
2245,354,34846,124,-18.87252883
2246,354,34847,150,327.0327124
2247,354,34848,240,613.191889
2248,355,34849,154,1135.273457
2249,355,34850,83,799.8156492
2250,355,34851,81,1623.124888
2251,355,34852,86,1148.256199
2252,355,34853,88,1401.307863
2253,355,34854,95,1369.835838
2254,355,34855,49,3280.298527
2255,355,34856,70,1961.33103
2256,356,34857,150,1342.468572
2257,356,34858,115,1113.342243
2258,356,34859,93,806.5010897
2259,356,34860,157,1184.323409
2260,357,34861,104,406.8993327
2261,357,34862,29,1180.242408
2262,357,34863,140,737.0319334
2263,357,34864,80,921.465819
2264,357,34865,48,1832.254717
2265,357,34866,51,1624.104431
2266,357,34867,87,544.3995705
2267,357,34868,58,1235.384593
2268,357,34869,47,966.5639651
2269,357,34870,84,916.8185843
2270,358,34871,105,760.4061051
2271,358,34872,134,663.0047376
2272,358,34873,100,610.6347124
2273,358,34874,90,835.8676985
2274,358,34875,109,847.0895008
2275,358,34876,115,652.1566104
2276,358,34877,90,798.0389852
2277,358,34878,99,822.7247882
2278,359,34879,31,1015.400461
2279,359,34880,69,665.6223591
2280,359,34881,46,900.6022851
2281,359,34882,-1,1471.259421
2282,359,34883,34,504.2836423
2283,359,34884,-6,1003.702697
2284,359,34885,40,-703.6041966
2285,360,34886,145,309.4474886
2286,360,34887,197,730.8998344
2287,360,34888,46,660.2308271
2288,360,34889,63,1238.290001
2289,360,34890,66,486.2913648
2290,361,34891,117,311.245376
2291,361,34892,158,1462.542704
2292,361,34893,120,1217.501917
2293,361,34894,149,1190.329091
2294,362,34895,124,271.3657451
2295,362,34896,95,1056.859534
2296,362,34897,55,1986.651177
2297,362,34898,131,1137.83137
2298,362,34899,159,375.7201047
2299,362,34900,67,1895.741759
2300,362,34901,129,621.1719336
2301,362,34902,99,876.8104024
2302,363,34903,27,828.871612
2303,363,34904,54,2434.518528
2304,363,34905,100,1293.695231
2305,363,34906,-7,106.6298301
2306,363,34907,14,2217.813614
2307,363,34908,10,2313.835082
2308,364,34909,106,-197.559643
2309,364,34910,31,2489.456796
2310,364,34911,61,1320.569371
2311,365,34912,81,1842.073764
2312,365,34913,121,322.6852703
2313,365,34914,81,1259.523404
2314,365,34915,80,640.5530021
2315,365,34916,115,698.7447115
2316,365,34917,92,1235.443671
2317,366,34918,82,989.32839
2318,366,34919,88,1510.580676
2319,366,34920,128,1059.569544
2320,366,34921,144,1933.618448
2321,366,34922,42,145.0466759
2322,366,34923,83,1475.014753
2323,366,34924,136,41.47021964
2324,367,34925,112,395.4660957
2325,367,34926,22,-891.5365174
2326,367,34927,105,558.0972221
2327,367,34928,132,1551.331429
2328,367,34929,106,10.55975627
2329,368,34930,92,1107.341834
2330,368,34931,75,467.0241888
2331,368,34932,154,891.9863269
2332,368,34933,115,982.2459898
2333,368,34934,46,684.7297684
2334,369,34935,67,1259.711364
2335,369,34936,68,1421.736536
2336,369,34937,67,572.8644632
2337,370,34938,98,1045.532929
2338,370,34939,106,273.4825306
2339,370,34940,69,1656.244319
2340,370,34941,112,1103.470488
2341,370,34942,84,1160.711895
2342,370,34943,112,1212.373058
2343,370,34944,76,529.0753888
2344,370,34945,86,594.1069382
2345,370,34946,68,-260.5727115
2346,371,34947,58,744.4394744
2347,371,34948,86,1556.802341
2348,371,34949,20,1673.019148
2349,371,34950,58,1468.339065
2350,371,34951,114,1157.351022
2351,371,34952,63,1228.502483
2352,371,34953,98,761.9893478
2353,371,34954,90,1198.276687
2354,371,34955,63,1195.150702
2355,371,34956,58,1231.920367
2356,372,34957,79,320.0384962
2357,372,34958,104,-445.6930001
2358,372,34959,82,458.7253404
2359,372,34960,85,509.1461126
2360,372,34961,102,291.710827
2361,372,34962,82,335.713799
2362,373,34963,110,1269.803596
2363,373,34964,5,967.2928815
2364,373,34965,131,914.0869841
2365,373,34966,72,1181.067048
2366,373,34967,32,1273.307967
2367,373,34968,136,1208.674698
2368,373,34969,54,1054.130309
2369,373,34970,51,1044.829066
2370,373,34971,73,1324.667428
2371,374,34972,94,1210.702104
2372,374,34973,102,209.0510964
2373,374,34974,113,-197.291431
2374,374,34975,149,134.2355636
2375,374,34976,111,-315.1646068
2376,374,34977,44,670.7109017
2377,374,34978,7,41.07275262
2378,374,34979,89,551.301349
2379,375,34980,86,1498.538607
2380,375,34981,95,1411.367403
2381,375,34982,76,1510.53929
2382,375,34983,53,1333.085878
2383,375,34984,99,745.4460991
2384,375,34985,94,1154.747907
2385,375,34986,47,758.5043901
2386,376,34987,94,835.3770869
2387,376,34988,93,2084.131132
2388,376,34989,65,1012.52622
2389,376,34990,67,1096.722194
2390,376,34991,23,1166.407796
2391,376,34992,131,484.2022702
2392,376,34993,105,1499.438865
2393,377,34994,87,-386.6725763
2394,377,34995,73,975.9667859
2395,377,34996,88,750.9548361
2396,377,34997,77,808.8729885
2397,377,34998,104,987.9244726
2398,377,34999,79,377.1266863
2399,377,35000,101,649.6885685
2400,377,35001,76,465.5828704
2401,378,35002,106,1944.888876
2402,378,35003,96,610.4531315
2403,378,35004,78,1060.82875
2404,378,35005,109,2115.732677
2405,379,35006,61,343.4467488
2406,379,35007,87,1037.805817
2407,379,35008,58,1708.703011
2408,379,35009,2,2537.552442
2409,380,35010,95,701.7387599
2410,380,35011,104,1040.226178
2411,380,35012,78,1510.692812
2412,380,35013,98,1870.87929
2413,381,35014,85,370.4119544
2414,381,35015,74,-382.4779813
2415,381,35016,69,-699.4171836
2416,381,35017,97,784.8400478
2417,382,35018,124,894.3715124
2418,382,35019,87,1067.776493
2419,382,35020,63,1508.187242
2420,382,35021,97,1563.935274
2421,382,35022,92,828.2210629
2422,382,35023,86,1369.9623
2423,382,35024,101,1429.581958
2424,382,35025,147,781.3481502
2425,383,35026,112,2224.232025
2426,383,35027,120,1943.159268
2427,383,35028,83,734.7947228
2428,383,35029,79,1372.403404
2429,383,35030,124,70.65222122
2430,383,35031,137,1068.999718
2431,383,35032,80,785.0679763
2432,384,35033,82,899.5029331
2433,384,35034,99,1599.680493
2434,384,35035,65,676.2058012
2435,384,35036,70,915.2619931
2436,384,35037,98,1438.364258
2437,384,35038,100,1914.114369
2438,385,35039,87,319.8353864
2439,385,35040,81,319.8353864
2440,385,35041,85,319.8353864
2441,385,35042,29,319.8353864
2442,386,35043,74,399.448933
2443,386,35044,114,-135.3267991
2444,386,35045,141,1746.044381
2445,386,35046,14,-459.5796314
2446,387,35047,71,-196.0683489
2447,387,35048,81,361.4763457
2448,387,35049,41,462.4196348
2449,387,35050,129,690.4155973
2450,388,35051,106,406.4255791
2451,388,35052,69,1497.266314
2452,388,35053,82,1665.180569
2453,388,35054,74,1761.259033
2454,388,35055,68,1556.875859
2455,388,35056,87,351.9345973
2456,388,35057,79,1261.329272
2457,388,35058,91,846.3358855
2458,389,35059,34,537.1528399
2459,389,35060,82,938.4533068
2460,389,35061,79,1052.071221
2461,389,35062,38,701.695441
2462,389,35063,29,1146.326879
2463,389,35064,-14,49.7168495
2464,389,35065,21,599.8070735
2465,390,35066,80,832.6604735
2466,390,35067,84,872.5442441
2467,390,35068,127,1107.198733
2468,390,35069,40,844.6653121
2469,390,35070,94,440.1541684
2470,390,35071,106,615.83685
2471,391,35072,110,67.28920442
2472,391,35073,95,99.24084945
2473,391,35074,108,710.822763
2474,391,35075,133,854.4581432
2475,391,35076,83,477.7630432
2476,391,35077,58,-1.362345558
2477,392,35078,32,84.05001911
2478,392,35079,184,1277.18791
2479,392,35080,109,496.5061348
2480,392,35081,92,-367.9346175
2481,392,35082,178,1260.103762
2482,392,35083,109,656.0952345
2483,392,35084,132,1074.162276
2484,392,35085,91,1531.009533
2485,392,35086,86,1335.578658
2486,392,35087,90,1235.675036
2487,393,35088,93,739.1099435
2488,393,35089,156,-318.938959
2489,393,35090,133,351.8216947
2490,393,35091,97,647.1991291
2491,394,35092,60,29.65096322
2492,394,35093,93,881.863203
2493,394,35094,56,-207.3018851
2494,394,35095,76,1056.167367
2495,394,35096,60,393.0229024
2496,394,35097,85,990.3368538
2497,395,35098,95,1786.205037
2498,395,35099,101,891.7721595
2499,395,35100,103,1802.143189
2500,395,35101,92,-72.0231104
2501,395,35102,59,1499.018001
2502,396,35103,115,2318.307998
2503,396,35104,110,1577.382704
2504,396,35105,107,1975.090004
2505,396,35106,102,3475.689842
2506,396,35107,98,1415.921098
2507,397,35108,59,1482.847814
2508,397,35109,48,1018.768104
2509,397,35110,68,745.7468677
2510,397,35111,107,-418.0563718
2511,397,35112,99,616.2162603
2512,397,35113,99,896.6666204
2513,397,35114,91,174.4041026
2514,398,35115,66,1246.70031
2515,398,35116,85,1074.080972
2516,398,35117,92,736.0811297
2517,398,35118,65,1943.854094
2518,398,35119,14,2347.522745
2519,399,35120,81,1498.812142
2520,399,35121,106,1114.225592
2521,399,35122,70,2168.164507
2522,399,35123,76,1329.991139
2523,399,35124,71,1286.760464
2524,399,35125,37,1097.512487
2525,400,35126,85,867.0171278
2526,400,35127,127,279.9199268
2527,400,35128,105,1197.916964
2528,400,35129,106,65.16659754
2529,400,35130,77,1134.411625
2530,401,35131,75,32.92748206
2531,401,35132,79,597.2423194
2532,402,35133,77,1222.022426
2533,402,35134,100,401.6148964
2534,402,35135,69,129.2395313
2535,402,35136,49,1330.435565
2536,402,35137,120,430.8309683
2537,402,35138,73,126.7166404
2538,402,35139,66,549.3009059
2539,403,35140,67,514.503155
2540,403,35141,119,1869.120575
2541,403,35142,86,540.86046
2542,403,35143,75,1190.535403
2543,403,35144,71,244.7285501
2544,403,35145,118,1435.248982
2545,403,35146,44,148.5596455
2546,403,35147,61,393.0125509
2547,403,35148,42,661.803001
2548,404,35149,62,-16.04436763
2549,404,35150,97,1449.593318
2550,404,35151,60,215.7224277
2551,404,35152,91,930.107588
2552,404,35153,82,810.9607606
2553,404,35154,85,1034.807135
2554,404,35155,132,2410.674093
2555,405,35156,169,1823.383127
2556,405,35157,59,821.6191454
2557,405,35158,112,1299.893472
2558,405,35159,106,772.7175855
2559,405,35160,131,1422.688101
2560,405,35161,155,1664.786321
2561,405,35162,88,1239.769189
2562,405,35163,82,1337.124813
2563,405,35164,120,1503.494693
2564,405,35165,177,1012.267938
2565,406,35166,82,2345.538641
2566,406,35167,94,427.8440242
2567,406,35168,97,362.455794
2568,407,35169,14,-516.8308775
2569,407,35170,60,-320.7156997
2570,407,35171,67,185.4340177
2571,407,35172,-12,-749.4757215
2572,407,35173,103,972.9930914
2573,407,35174,48,2034.889783
2574,407,35175,90,-374.3067433
2575,407,35176,57,887.5542422
2576,407,35177,40,782.8316951
2577,407,35178,37,-1047.820404
2578,407,35179,85,1598.538707
2579,407,35180,109,667.6713314
2580,408,35181,69,688.4784461
2581,408,35182,71,1329.798152
2582,408,35183,77,1371.775907
2583,408,35184,89,460.4970513
2584,408,35185,55,1108.50328
2585,408,35186,67,556.4083904
2586,408,35187,75,269.0155121
2587,408,35188,76,401.8129286
2588,408,35189,77,1376.535995
2589,409,35190,86,2906.000334
2590,409,35191,93,1577.761539
2591,409,35192,104,-53.30572994
2592,409,35193,126,1460.493
2593,409,35194,87,884.3589346
2594,410,35195,72,-933.2417724
2595,410,35196,118,1940.729642
2596,410,35197,49,864.1169096
2597,410,35198,125,1597.071704
2598,410,35199,92,212.7249073
2599,411,35200,-14,171.7413346
2600,411,35201,65,637.5656424
2601,411,35202,70,-202.9643176
2602,411,35203,74,234.6197151
2603,411,35204,230,1548.793737
2604,411,35205,112,757.9107952
2605,411,35206,53,573.3715485
2606,411,35207,138,903.4782984
2607,412,35208,40,3382.978608
2608,412,35209,64,1431.522729
2609,412,35210,45,1451.469664
2610,412,35211,43,2102.083988
2611,412,35212,131,439.1997886
2612,412,35213,130,1343.106637
2613,412,35214,74,1755.432181
2614,412,35215,77,1953.244715
2615,412,35216,47,1885.481145
2616,413,35217,74,376.5696141
2617,413,35218,85,1150.714378
2618,413,35219,111,-459.2255167
2619,413,35220,104,1019.575843
2620,413,35221,68,1184.693288
2621,413,35222,112,1641.382623
2622,414,35223,82,648.9389462
2623,414,35224,65,725.114578
2624,414,35225,70,732.2584394
2625,414,35226,59,761.2830673
2626,414,35227,39,761.8781187
2627,415,35228,108,673.1237691
2628,415,35229,112,428.4446996
2629,415,35230,90,976.3475278
2630,415,35231,115,1088.815664
2631,415,35232,104,732.8676009
2632,415,35233,133,-641.6274227
2633,416,35234,129,1498.021775
2634,416,35235,93,1620.497663
2635,416,35236,61,873.6819837
2636,416,35237,86,567.5434808
2637,416,35238,77,748.7093756
2638,416,35239,81,767.70249
2639,417,35240,90,605.5685306
2640,417,35241,82,1234.677106
2641,417,35242,54,1313.39317
2642,418,35243,72,-3.198544588
2643,418,35244,51,1096.648058
2644,418,35245,80,757.9226863
2645,418,35246,47,329.8262438
2646,418,35247,51,80.52567582
2647,418,35248,97,732.9968101
2648,419,35249,107,1230.038807
2649,419,35250,141,1095.34361
2650,419,35251,93,1353.750779
2651,419,35252,146,1322.799354
2652,419,35253,115,728.7653695
2653,419,35254,110,2560.296061
2654,420,35255,81,2753.412783
2655,420,35256,119,1227.469656
2656,420,35257,103,852.5525093
2657,420,35258,118,-406.6780376
2658,420,35259,140,1477.133601
2659,420,35260,145,1392.142543
2660,421,35261,62,2378.364432
2661,421,35262,111,137.2523121
2662,421,35263,73,1274.60787
2663,421,35264,62,352.3333486
2664,421,35265,85,164.9431164
2665,421,35266,51,741.4905126
2666,421,35267,69,1032.432919
2667,422,35268,111,250.5920423
2668,422,35269,86,2226.701545
2669,422,35270,98,977.7828092
2670,423,35271,71,-725.6026992
2671,423,35272,66,325.9659425
2672,423,35273,79,2111.753607
2673,423,35274,133,1833.525821
2674,423,35275,79,1262.323076
2675,423,35276,33,49.50533253
2676,423,35277,43,799.1578652
2677,423,35278,109,1395.534213
2678,423,35279,56,330.2890731
2679,424,35280,164,1906.838432
2680,424,35281,148,-5.752512398
2681,424,35282,133,1302.961438
2682,424,35283,71,-179.2917465
2683,424,35284,58,446.878742
2684,424,35285,71,777.1668087
2685,424,35286,136,887.9735324
2686,425,35287,57,720.0823154
2687,425,35288,112,1568.132414
2688,425,35289,93,958.4002465
2689,425,35290,85,2090.444965
2690,425,35291,73,985.724858
2691,425,35292,103,956.5779623
2692,426,35293,79,-371.46124
2693,426,35294,60,-365.998161
2694,426,35295,103,292.8090583
2695,426,35296,75,-293.0537913
2696,426,35297,85,1096.374699
2697,427,35298,138,1819.409627
2698,427,35299,7,-98.32597716
2699,427,35300,-7,495.6959146
